class,model,method,file_path,module
StockRule,stock.rule,_get_stock_move_values,C:\Cursor\Odoo\csl_addons\csl_custom\models\custom.py,csl_custom
HrAttendance,hr.attendance,create,C:\Cursor\Odoo\csl_addons\csl_hr\models\hr_attendance.py,csl_hr
HrAttendance,hr.attendance,_check_validity,C:\Cursor\Odoo\csl_addons\csl_hr\models\hr_attendance.py,csl_hr
HrEmployeeBase,hr.employee.base,_attendance_action,C:\Cursor\Odoo\csl_addons\csl_hr\models\hr_employee.py,csl_hr
HrEmployeeBase,hr.employee.base,_compute_presence_state,C:\Cursor\Odoo\csl_addons\csl_hr\models\hr_employee.py,csl_hr
AccountMoveLine,account.move.line,_onchange_price_subtotal,C:\Cursor\Odoo\csl_addons\csl_invoice\models\account_move.py,csl_invoice
AccountMoveLine,account.move.line,create,C:\Cursor\Odoo\csl_addons\csl_invoice\models\account_move.py,csl_invoice
ResPartner,res.partner,_get_signup_url_for_action,C:\Cursor\Odoo\csl_addons\csl_login\models\res_partner.py,csl_login
ResUsers,res.users,fields_view_get,C:\Cursor\Odoo\csl_addons\csl_login\models\res_users.py,csl_login
ResUsers,res.users,action_reset_password,C:\Cursor\Odoo\csl_addons\csl_login\models\res_users.py,csl_login
PortalWizard,portal.wizard,_default_user_ids,C:\Cursor\Odoo\csl_addons\csl_login\wizard\portal_wizard.py,csl_login
ExpectedDelivery,rma.expected_delivery,create,C:\Cursor\Odoo\csl_addons\csl_photos\models\expected_delivery.py,csl_photos
ProjectTask,project.task,create,C:\Cursor\Odoo\csl_addons\csl_photos\models\project_task.py,csl_photos
CslImageData,csl.image.data,name_get,C:\Cursor\Odoo\csl_addons\csl_photos\models\qr_code_data.py,csl_photos
CslImageData,csl.image.data,unlink,C:\Cursor\Odoo\csl_addons\csl_photos\models\qr_code_data.py,csl_photos
StockPicking,stock.picking,create,C:\Cursor\Odoo\csl_addons\csl_photos\models\stock_picking.py,csl_photos
CompetitorPriceProvider,competitor.provider,unlink,C:\Cursor\Odoo\csl_addons\csl_product\models\competitor.py,csl_product
ProductManufacturer,product.manufacturer,_compute_website_url,C:\Cursor\Odoo\csl_addons\csl_product\models\product.py,csl_product
ProductPublicCategory,product.public.category,_compute_website_url,C:\Cursor\Odoo\csl_addons\csl_product\models\product.py,csl_product
ProductSeries,product.series,_compute_website_url,C:\Cursor\Odoo\csl_addons\csl_product\models\product.py,csl_product
IrAttachment,ir.attachment,create,C:\Cursor\Odoo\csl_addons\csl_product\models\product.py,csl_product
IrAttachment,ir.attachment,write,C:\Cursor\Odoo\csl_addons\csl_product\models\product.py,csl_product
ProductApplication,product.application,_compute_website_url,C:\Cursor\Odoo\csl_addons\csl_product\models\product_application.py,csl_product
ProductProduct,product.product,default_get,C:\Cursor\Odoo\csl_addons\csl_product\models\product_product.py,csl_product
ProductProduct,product.product,fields_view_get,C:\Cursor\Odoo\csl_addons\csl_product\models\product_product.py,csl_product
ProductProduct,product.product,write,C:\Cursor\Odoo\csl_addons\csl_product\models\product_product.py,csl_product
ProductProduct,product.product,create,C:\Cursor\Odoo\csl_addons\csl_product\models\product_product.py,csl_product
ProductTemplate,product.template,_name_search,C:\Cursor\Odoo\csl_addons\csl_product\models\product_template.py,csl_product
ProductTemplate,product.template,_create_variant_ids,C:\Cursor\Odoo\csl_addons\csl_product\models\product_template.py,csl_product
ProductTemplate,product.template,create,C:\Cursor\Odoo\csl_addons\csl_product\models\product_template.py,csl_product
ProductTemplate,product.template,write,C:\Cursor\Odoo\csl_addons\csl_product\models\product_template.py,csl_product
ProductTemplate,product.template,_get_placeholder_filename,C:\Cursor\Odoo\csl_addons\csl_product\models\product_template.py,csl_product
ProductTemplate,product.template,copy,C:\Cursor\Odoo\csl_addons\csl_product\models\product_template.py,csl_product
ProductTemplate,product.template,fields_view_get,C:\Cursor\Odoo\csl_addons\csl_product\models\product_template.py,csl_product
ProductTemplate,product.template,default_get,C:\Cursor\Odoo\csl_addons\csl_product\models\product_template.py,csl_product
ProductFixtureReportPortrait,report.csl_product.report_fixture_label_portrait,create,C:\Cursor\Odoo\csl_addons\csl_product\models\product_template.py,csl_product
ProductFixtureReportPortrait,report.csl_product.report_fixture_label_portrait,write,C:\Cursor\Odoo\csl_addons\csl_product\models\product_template.py,csl_product
ResConfigSettings,res.config.settings,set_values,C:\Cursor\Odoo\csl_addons\csl_product\models\res_config_settings.py,csl_product
ResConfigSettings,res.config.settings,get_values,C:\Cursor\Odoo\csl_addons\csl_product\models\res_config_settings.py,csl_product
StockLocation,stock.location,name_search,C:\Cursor\Odoo\csl_addons\csl_product\models\stock_location.py,csl_product
StockLocation,stock.location,search_read,C:\Cursor\Odoo\csl_addons\csl_product\models\stock_location.py,csl_product
WebsitePublishedMixin,website.published.mixin,open_website_url,C:\Cursor\Odoo\csl_addons\csl_product\models\website.py,csl_product
ProductCopy,product.copy.wizard,default_get,C:\Cursor\Odoo\csl_addons\csl_product\wizard\product_copy_wizard.py,csl_product
ProductImageDataWizard,wiz.product.image.data,default_get,C:\Cursor\Odoo\csl_addons\csl_product\wizard\product_template_wizard.py,csl_product
ProductQuick,product.quick.wizard,default_get,C:\Cursor\Odoo\csl_addons\csl_product\wizard\quick_product.py,csl_product
ProductQuick,product.quick.wizard,fields_view_get,C:\Cursor\Odoo\csl_addons\csl_product\wizard\quick_product.py,csl_product
