Cycle,Count,Models Involved
mass_mailing_sale.mailing.mailing -> mass_mailing_sale.mailing.mailing -> mass_mailing_sale.mailing.mailing,26,"mailing.mailing, mailing.mailing, mailing.mailing"
account.account.tax -> account.account.tax -> account.account.tax,26,"account.tax, account.tax, account.tax"
mail.mail.template -> mail.mail.template -> mail.mail.template,26,"mail.template, mail.template, mail.template"
sale.account.move -> sale.account.move -> sale.account.move,26,"account.move, account.move, account.move"
printnode_base.stock.move.line -> printnode_base.stock.move.line -> printnode_base.stock.move.line,25,"stock.move.line, stock.move.line, stock.move.line"
sign.sign.request -> sign.sign.request -> sign.sign.request,25,"sign.request, sign.request, sign.request"
stock_barcode.stock.picking -> stock_barcode.stock.picking -> stock_barcode.stock.picking,24,"stock.picking, stock.picking, stock.picking"
website.website.visitor -> website.website.visitor -> website.website.visitor,24,"website.visitor, website.visitor, website.visitor"
base.res.country -> base.res.country -> base.res.country,23,"res.country, res.country, res.country"
account.account.tax.template -> account.account.tax.template -> account.account.tax.template,23,"account.tax.template, account.tax.template, account.tax.template"
gamification.gamification.badge -> gamification.gamification.badge -> gamification.gamification.badge,23,"gamification.badge, gamification.badge, gamification.badge"
csl_attendance.hr.attendance -> csl_attendance.hr.attendance -> csl_attendance.hr.attendance,23,"hr.attendance, hr.attendance, hr.attendance"
sign.sign.template -> sign.sign.template -> sign.sign.template,22,"sign.template, sign.template, sign.template"
calendar.calendar.recurrence -> calendar.calendar.recurrence -> calendar.calendar.recurrence,22,"calendar.recurrence, calendar.recurrence, calendar.recurrence"
hr_contract.hr.contract -> hr_contract.hr.contract -> hr_contract.hr.contract,22,"hr.contract, hr.contract, hr.contract"
documents_project.project.project -> documents_project.project.project -> documents_project.project.project,21,"project.project, project.project, project.project"
delivery.delivery.carrier -> delivery.delivery.carrier -> delivery.delivery.carrier,21,"delivery.carrier, delivery.carrier, delivery.carrier"
event.event.registration -> event.event.registration -> event.event.registration,21,"event.registration, event.registration, event.registration"
printnode_base.product.template -> printnode_base.product.template -> printnode_base.product.template,20,"product.template, product.template, product.template"
helpdesk_timesheet.helpdesk.ticket -> helpdesk_timesheet.helpdesk.ticket -> helpdesk_timesheet.helpdesk.ticket,20,"helpdesk.ticket, helpdesk.ticket, helpdesk.ticket"
documents_product.product.product -> documents_product.product.product -> documents_product.product.product,20,"product.product, product.product, product.product"
base.ir.ui.view -> base.ir.ui.view -> base.ir.ui.view,20,"ir.ui.view, ir.ui.view, ir.ui.view"
stock.stock.location -> stock.stock.location -> stock.stock.location,20,"stock.location, stock.location, stock.location"
crm.crm.team -> crm.crm.team -> crm.crm.team,19,"crm.team, crm.team, crm.team"
base.ir.actions.act_window -> base.ir.actions.act_window -> base.ir.actions.act_window,19,"ir.actions.act_window, ir.actions.act_window, ir.actions.act_window"
account_reports.account.move.line -> account_reports.account.move.line -> account_reports.account.move.line,18,"account.move.line, account.move.line, account.move.line"
base_automation.base.automation -> base_automation.base.automation -> base_automation.base.automation,18,"base.automation, base.automation, base.automation"
base.ir.actions.report -> base.ir.actions.report -> base.ir.actions.report,18,"ir.actions.report, ir.actions.report, ir.actions.report"
website_event_track.event.sponsor -> website_event_track.event.sponsor -> website_event_track.event.sponsor,18,"event.sponsor, event.sponsor, event.sponsor"
sales_team.crm.team -> sales_team.crm.team -> sales_team.crm.team,17,"crm.team, crm.team, crm.team"
fetchmail.fetchmail.server -> fetchmail.fetchmail.server -> fetchmail.fetchmail.server,17,"fetchmail.server, fetchmail.server, fetchmail.server"
stock.stock.scrap -> stock.stock.scrap -> stock.stock.scrap,17,"stock.scrap, stock.scrap, stock.scrap"
base.report.paperformat -> base.report.paperformat -> base.report.paperformat,17,"report.paperformat, report.paperformat, report.paperformat"
sale_subscription.sale.order -> sale_subscription.sale.order -> sale_subscription.sale.order,16,"sale.order, sale.order, sale.order"
coupon.coupon.program -> coupon.coupon.program -> coupon.coupon.program,16,"coupon.program, coupon.program, coupon.program"
crm.res.partner -> crm.res.partner -> crm.res.partner,16,"res.partner, res.partner, res.partner"
im_livechat.im_livechat.channel -> im_livechat.im_livechat.channel -> im_livechat.im_livechat.channel,16,"im_livechat.channel, im_livechat.channel, im_livechat.channel"
documents_hr_contract.hr.contract -> documents_hr_contract.hr.contract -> documents_hr_contract.hr.contract,15,"hr.contract, hr.contract, hr.contract"
base.res.currency -> base.res.currency -> base.res.currency,15,"res.currency, res.currency, res.currency"
payment.payment.token -> payment.payment.token -> payment.payment.token,15,"payment.token, payment.token, payment.token"
hr_recruitment.hr.job -> hr_recruitment.hr.job -> hr_recruitment.hr.job,15,"hr.job, hr.job, hr.job"
mail.res.partner -> mail.res.partner -> mail.res.partner,15,"res.partner, res.partner, res.partner"
csl_website.rma.expected_delivery -> csl_website.rma.expected_delivery -> csl_website.rma.expected_delivery,15,"rma.expected_delivery, rma.expected_delivery, rma.expected_delivery"
l10n_it_edi.res.company -> l10n_it_edi.res.company -> l10n_it_edi.res.company,14,"res.company, res.company, res.company"
l10n_it_edi.res.partner -> l10n_it_edi.res.partner -> l10n_it_edi.res.partner,14,"res.partner, res.partner, res.partner"
note.note.note -> note.note.note -> note.note.note,14,"note.note, note.note, note.note"
product.product.template.attribute.value -> product.product.template.attribute.value -> product.product.template.attribute.value,14,"product.template.attribute.value, product.template.attribute.value, product.template.attribute.value"
base.ir.actions.server -> base.ir.actions.server -> base.ir.actions.server,14,"ir.actions.server, ir.actions.server, ir.actions.server"
csl_product.product.public.category -> csl_product.product.public.category -> csl_product.product.public.category,14,"product.public.category, product.public.category, product.public.category"
purchase.res.partner -> purchase.res.partner -> purchase.res.partner,13,"res.partner, res.partner, res.partner"
base.ir.model -> base.ir.model -> base.ir.model,13,"ir.model, ir.model, ir.model"
base.res.groups -> base.res.groups -> base.res.groups,13,"res.groups, res.groups, res.groups"
printnode_base.stock.picking -> printnode_base.stock.picking -> printnode_base.stock.picking,13,"stock.picking, stock.picking, stock.picking"
documents_hr_recruitment.hr.applicant -> documents_hr_recruitment.hr.applicant -> documents_hr_recruitment.hr.applicant,12,"hr.applicant, hr.applicant, hr.applicant"
l10n_it_edi.account.tax -> l10n_it_edi.account.tax -> l10n_it_edi.account.tax,12,"account.tax, account.tax, account.tax"
base.res.bank -> base.res.bank -> base.res.bank,12,"res.bank, res.bank, res.bank"
website_event_track.website.visitor -> website_event_track.website.visitor -> website_event_track.website.visitor,12,"website.visitor, website.visitor, website.visitor"
event.event.type -> event.event.type -> event.event.type,12,"event.type, event.type, event.type"
mail.ir.actions.server -> mail.ir.actions.server -> mail.ir.actions.server,12,"ir.actions.server, ir.actions.server, ir.actions.server"
website.res.partner -> website.res.partner -> website.res.partner,12,"res.partner, res.partner, res.partner"
account_followup.res.partner -> account_followup.res.partner -> account_followup.res.partner,11,"res.partner, res.partner, res.partner"
timesheet_grid.account.analytic.line -> timesheet_grid.account.analytic.line -> timesheet_grid.account.analytic.line,11,"account.analytic.line, account.analytic.line, account.analytic.line"
website_crm_score.res.users -> website_crm_score.res.users -> website_crm_score.res.users,11,"res.users, res.users, res.users"
website_helpdesk.helpdesk.team -> website_helpdesk.helpdesk.team -> website_helpdesk.helpdesk.team,11,"helpdesk.team, helpdesk.team, helpdesk.team"
hr.hr.job -> hr.hr.job -> hr.hr.job,11,"hr.job, hr.job, hr.job"
base.ir.ui.menu -> base.ir.ui.menu -> base.ir.ui.menu,11,"ir.ui.menu, ir.ui.menu, ir.ui.menu"
documents_hr_recruitment.hr.job -> documents_hr_recruitment.hr.job -> documents_hr_recruitment.hr.job,10,"hr.job, hr.job, hr.job"
account_debit_note.account.debit.note -> account_debit_note.account.debit.note -> account_debit_note.account.debit.note,10,"account.debit.note, account.debit.note, account.debit.note"
hr_timesheet.project.task -> hr_timesheet.project.task -> hr_timesheet.project.task,10,"project.task, project.task, project.task"
l10n_cl.res.partner -> l10n_cl.res.partner -> l10n_cl.res.partner,10,"res.partner, res.partner, res.partner"
website_profile.gamification.badge -> website_profile.gamification.badge -> website_profile.gamification.badge,10,"gamification.badge, gamification.badge, gamification.badge"
csl_product.stock.location -> csl_product.stock.location -> csl_product.stock.location,9,"stock.location, stock.location, stock.location"
mass_mailing.mailing.contact -> mass_mailing.mailing.contact -> mass_mailing.mailing.contact,9,"mailing.contact, mailing.contact, mailing.contact"
website_event.event.type -> website_event.event.type -> website_event.event.type,9,"event.type, event.type, event.type"
base.ir.filters -> base.ir.filters -> base.ir.filters,9,"ir.filters, ir.filters, ir.filters"
base.ir.mail_server -> base.ir.mail_server -> base.ir.mail_server,9,"ir.mail_server, ir.mail_server, ir.mail_server"
base.ir.rule -> base.ir.rule -> base.ir.rule,9,"ir.rule, ir.rule, ir.rule"
csl_project_repair.purchase.order.line -> csl_project_repair.purchase.order.line -> csl_project_repair.purchase.order.line,9,"purchase.order.line, purchase.order.line, purchase.order.line"
account_accountant.account.move.line -> account_accountant.account.move.line -> account_accountant.account.move.line,8,"account.move.line, account.move.line, account.move.line"
documents_hr.res.users -> documents_hr.res.users -> documents_hr.res.users,8,"res.users, res.users, res.users"
stock_barcode.stock.move.line -> stock_barcode.stock.move.line -> stock_barcode.stock.move.line,8,"stock.move.line, stock.move.line, stock.move.line"
account.account.invoice.send -> account.account.invoice.send -> account.account.invoice.send,8,"account.invoice.send, account.invoice.send, account.invoice.send"
calendar.calendar.attendee -> calendar.calendar.attendee -> calendar.calendar.attendee,8,"calendar.attendee, calendar.attendee, calendar.attendee"
website.ir.ui.view -> website.ir.ui.view -> website.ir.ui.view,8,"ir.ui.view, ir.ui.view, ir.ui.view"
website_sale.product.public.category -> website_sale.product.public.category -> website_sale.product.public.category,8,"product.public.category, product.public.category, product.public.category"
base.ir.default -> base.ir.default -> base.ir.default,8,"ir.default, ir.default, ir.default"
