module,Merge Into,Status,python_files,xml_files,lines_of_code,view_count,field_count,method_override_count,inherited_models_count,inherited_models_list,models_defined_count,models_defined_list,shared_inherited_models_count,shared_inherited_models
csl_sale,csl_repair,,4,8,951,6,26,9,4,"sale.order, sale.order.line, stock.move, stock.move.line",7,"available.order.line, merge.order.line, sale.order, sale.order.line, stock.move, stock.move.line, update.schedule.wizd",4,"sale.order.line (with csl_custom, csl_project_repair, csl_rma); stock.move (with csl_custom, csl_rma); stock.move.line (with csl_custom, csl_photos, csl_project_repair, csl_rma); sale.order (with csl_project_repair, csl_rma, csl_website, sale_disable_auto_followers)"
project_repair_workflow,csl_repair,,10,15,789,11,58,3,4,"account.analytic.line, base, project.task, project.task.type",11,"account.analytic.line, base, ir.model.fields.dynamic.selection, project.repair.task.priority, project.repair.task.wcd, project.repair.task.wcd.reason, project.repair.task.workflow, project.repair.task.workflow.stage, project.repair.task.workflow.trigger, project.task, project.task.type",3,"project.task (with csl_photos, csl_project_repair, csl_project_repair_assignee_log, csl_rma, csl_timesheet); account.analytic.line (with csl_project_repair, csl_timesheet); project.task.type (with csl_rma)"
project_repair_workflow_trigger,csl_repair,,2,0,315,0,10,5,1,ir.model.fields,3,"get.status.mixin, ir.model.fields, project.repair.task.workflow.trigger",0,
csl_rma,csl_repair,,20,34,3439,45,179,32,22,"base.wizard, mail.activity, mail.activity.mixin, mail.activity.type, mail.thread, project.project, project.task, project.task.type, res.company, res.config.settings, res.partner, rma.expected_delivery, sale.order, sale.order.line, sale.report, stock.move, stock.move.line, stock.picking, stock.picking.type, stock.production.lot, stock.quant, stock.return.picking",32,"base.wizard, csl.rma.status.overview.report, improve.rma.customer.wizard, improve.rma.product.wizard, mail.activity, mail.activity.mixin, mail.activity.type, mail.thread, project.expected_delivery.convert.to.task, project.project, project.task, project.task.type, res.company, res.config.settings, res.partner, rma.expected_delivery, rma.instructions.template, rma.print.serial_no.wizard, rma.product_line, sale.order, sale.order.line, sale.report, shipping.documents.print, stock.move, stock.move.line, stock.picking, stock.picking.type, stock.production.lot, stock.quant, stock.return.picking, tmp.rma.product, tmp.rma.serialno",17,"stock.production.lot (with bista_convert_product, csl_photos, csl_project_repair); res.partner (with csl_account, csl_contacts, csl_login, csl_purchase, csl_website); stock.picking (with csl_account, csl_photos, csl_project_repair, sale_disable_auto_followers); mail.thread (with csl_attendance, csl_competitor, csl_product, csl_website, sale_disable_auto_followers); res.company (with csl_attendance, csl_contacts, csl_invoice, csl_product, csl_purchase, csl_website); mail.activity.mixin (with csl_competitor, csl_product, csl_website); res.config.settings (with csl_compress_product_image, csl_product, csl_project_repair, sale_disable_auto_followers); sale.order.line (with csl_custom, csl_project_repair, csl_sale); stock.move (with csl_custom, csl_sale); stock.move.line (with csl_custom, csl_photos, csl_project_repair, csl_sale); project.task (with csl_photos, csl_project_repair, csl_project_repair_assignee_log, csl_timesheet, project_repair_workflow); rma.expected_delivery (with csl_photos); stock.quant (with csl_product); sale.order (with csl_project_repair, csl_sale, csl_website, sale_disable_auto_followers); stock.picking.type (with csl_project_repair); project.project (with csl_timesheet); project.task.type (with project_repair_workflow)"
csl_website,csl_website,NA,20,38,1932,4,15,8,13,"blog.post, ir.http, mail.activity.mixin, mail.thread, payment.transaction, portal.mixin, product.product, product.template, product.template.attribute.value, res.company, res.partner, sale.order, website",14,"blog.post, ir.http, mail.activity.mixin, mail.thread, payment.transaction, portal.mixin, product.product, product.template, product.template.attribute.value, res.company, res.partner, rma.expected_delivery, sale.order, website",8,"payment.transaction (with csl_account); res.partner (with csl_account, csl_contacts, csl_login, csl_purchase, csl_rma); mail.thread (with csl_attendance, csl_competitor, csl_product, csl_rma, sale_disable_auto_followers); res.company (with csl_attendance, csl_contacts, csl_invoice, csl_product, csl_purchase, csl_rma); mail.activity.mixin (with csl_competitor, csl_product, csl_rma); product.template (with csl_competitor, csl_compress_product_image, csl_photos, csl_product, csl_project_repair); product.product (with csl_compress_product_image, csl_photos, csl_product, csl_project_repair); sale.order (with csl_project_repair, csl_rma, csl_sale, sale_disable_auto_followers)"
csl_custom,MULTIPLE as appropriate,,1,1,74,2,9,3,7,"account.move.line, project.task.product, sale.order.line, stock.move, stock.move.line, stock.rule, tmp.cttq.product",7,"account.move.line, project.task.product, sale.order.line, stock.move, stock.move.line, stock.rule, tmp.cttq.product",6,"account.move.line (with csl_account, csl_invoice); project.task.product (with csl_photos); sale.order.line (with csl_project_repair, csl_rma, csl_sale); stock.move (with csl_rma, csl_sale); stock.move.line (with csl_photos, csl_project_repair, csl_rma, csl_sale); stock.rule (with csl_project_repair)"
csl_login,MULTIPLE csl_repair and csl_contacts,,4,4,289,5,5,4,4,"portal.wizard, portal.wizard.user, res.partner, res.users",4,"portal.wizard, portal.wizard.user, res.partner, res.users",2,"res.partner (with csl_account, csl_contacts, csl_purchase, csl_rma, csl_website); res.users (with csl_product)"
csl_utilities,REMOVE (verify unused),,4,3,3194,3,4,1,0,,1,odoo.migrations,0,
csl_purchase,Some to csl_account,,5,6,317,9,12,6,6,"account.move, account.payment.register, purchase.order, purchase.order.line, res.company, res.partner",7,"account.move, account.payment.register, purchase.order, purchase.order.line, res.company, res.partner, select.purchase.order.wizard",6,"account.move (with csl_account, csl_invoice, sale_disable_auto_followers); account.payment.register (with csl_account); purchase.order (with csl_account); purchase.order.line (with csl_account); res.partner (with csl_account, csl_contacts, csl_login, csl_rma, csl_website); res.company (with csl_attendance, csl_contacts, csl_invoice, csl_product, csl_rma, csl_website)"
sale_disable_auto_followers,REMOVE (native in Odoo 19),,3,1,211,0,1,12,6,"account.move, mail.thread, res.config.settings, sale.advance.payment.inv, sale.order, stock.picking",6,"account.move, mail.thread, res.config.settings, sale.advance.payment.inv, sale.order, stock.picking",6,"account.move (with csl_account, csl_invoice, csl_purchase); stock.picking (with csl_account, csl_photos, csl_project_repair, csl_rma); mail.thread (with csl_attendance, csl_competitor, csl_product, csl_rma, csl_website); res.config.settings (with csl_compress_product_image, csl_product, csl_project_repair, csl_rma); sale.advance.payment.inv (with csl_project_repair); sale.order (with csl_project_repair, csl_rma, csl_sale, csl_website)"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Final List:,,,,,,,,,,,,,,
csl_account,,,,,,,,,,,,,,
csl_contacts,,,,,,,,,,,,,,
csl_hr,,,,,,,,,,,,,,
csl_photos,,,,,,,,,,,,,,
csl_product,,,,,,,,,,,,,,
csl_project_repair,,,,,,,,,,,,,,
csl_rma,,,,,,,,,,,,,,
csl_website,,,,,,,,,,,,,,
