field_key,view_modules,data_modules,shared_between,recommendation
account.move.name,"website_sale, l10n_cl_edi, account_fleet, l10n_in, csl_invoice, account_invoice_extract, sale, account_asset, l10n_latam_invoice_document, account_3way_match, l10n_it_edi, account_edi_facturx, account_reports, l10n_ar_edi, partner_commission, sale_subscription, sale_timesheet, l10n_ar, account_edi_ubl_cii, csl_account, account_taxcloud, account_debit_note, account_accountant, stock_landed_costs, l10n_it_stock_ddt, account_check_printing, account_auto_transfer, purchase, csl_purchase, l10n_cl",,views,Consider moving field definition to core if views manipulate same data
search_view_id,"helpdesk, point_of_sale, mail, uom, account_3way_match, l10n_mx_edi_stock, industry_fsm_sale, mrp, website_blog, stock, industry_fsm_report, sale_subscription, hr_timesheet, cloud_base, sale_timesheet, hr_appraisal, csl_project_repair, crm, sale_renting, digest, calendar, lunch, sign, google_drive, note, coupon, sale, account_bank_statement_import, im_livechat, base, phone_validation, l10n_in_hr_payroll, planning, membership, website_slides, website_crm_partner_assign, website_sale, fetchmail, hr_expense, account_batch_payment, hr_referral, account_asset, gamification, account_budget, hr_attendance, analytic, account_taxcloud, product, hr_contract_salary, account_test, project, crm_iap_lead_website, l10n_latam_base, website_customer, purchase, contacts, hr_contract, industry_fsm, hr_payroll, csl_product, resource, website_twitter_wall, fleet, hr_holidays, project_timesheet_forecast, web_tour, mrp_workorder, utm, extra_addons, account_auto_transfer, quality_control, voip, hr_work_entry, maintenance, sale_subscription_dashboard, stock_picking_batch, helpdesk_timesheet, account, purchase_stock, account_accountant",,views,Consider moving field definition to core if views manipulate same data
account.journal.name,"l10n_au_aba, l10n_mx, account_followup, l10n_ar, l10n_latam_invoice_document, account_bank_statement_import, account_3way_match, hr_expense, account, account_check_printing, account_batch_payment, l10n_in, point_of_sale, account_accountant, account_reports, l10n_ar_edi","hr_payroll_account, l10n_generic_auto_transfer_demo",both,Move field definition to core
parent_id,"account_accountant, website_forum, hr_contract_salary_payroll, hr_contract_salary",,views,Consider moving field definition to core if views manipulate same data
res.users.groups_id,l10n_uk_reports,"website_slides, hr_payroll, account_consolidation, helpdesk, hr_expense, event, hr_recruitment, hr_referral, point_of_sale, website, mrp_plm, sale, fleet, account_budget, hr_attendance, social, hr_timesheet, l10n_be_hr_contract_salary, hr_appraisal, quality, account_accountant, hr_contract, sign",both,Move field definition to core
name,"csl_project_repair_assignee_log, helpdesk, mail_client_extension, l10n_cl_edi, hr_recruitment, adyen_platforms, point_of_sale, helpdesk_sale_timesheet, l10n_be_hr_payroll_273S_274, web, onedrive, l10n_in, website, csl_invoice, hr_skills, csl_sale, mrp_plm, sale_ebay, mail, uom, account_online_synchronization, l10n_mx_edi_stock, industry_fsm_sale, mrp, mrp_account_enterprise, account_edi_ubl, website_blog, csl_attendance, account_disallowed_expenses, l10n_fr_hr_payroll, website_slides_forum, marketing_automation_sms, stock, industry_fsm_report, sale_subscription, hr_timesheet, cloud_base, sale_timesheet, l10n_lu_reports, l10n_fr_pos_cert, l10n_de_pos_cert, payment, hr_appraisal, csl_competitor, pos_restaurant, website_sale_slides, stock_landed_costs, csl_project_repair, crm, sale_amazon, product_margin, sale_renting, l10n_gcc_invoice, digest, calendar, stock_sms, website_slides_survey, lunch, bista_aws_s3_file_storage, pos_l10n_se, crm_helpdesk, website_studio, sign, crm_sms, l10n_cl, hr_work_entry_contract, website_event_meet, test_access_rights, sale_crm, account_followup, website_forum, website_calendar, google_drive, website_sale_comparison, project_timesheet_synchro, timesheet_grid, website_livechat, l10n_lu_reports_electronic_xml_2_0, event_barcode, stock_account, note, bista_convert_product, hr_payroll_account, shipengine_shipping_integration, base_setup, mass_mailing, coupon, event_sms, sale, stock_barcode, website_event_track, l10n_au_reports, documents_account, account_bank_statement_import, csl_timesheet, l10n_ph, im_livechat, l10n_it_edi, iot, l10n_uk_reports, repair, base, social, phone_validation, documents, l10n_de_reports, barcodes, sale_management, account_sepa_direct_debit, hr_contract_sign, l10n_ar_reports, l10n_in_hr_payroll, portal, event_crm, web_studio, sh_purchase_cancel, crm_iap_lead, marketing_automation, l10n_mx_xml_polizas, website_jitsi, switch_user_app, planning, test_testing_utilities, membership, hr, website_event_questions, website_slides, l10n_lu_reports_electronic, documents_spreadsheet, l10n_be_hr_payroll_posted_employee, rating, sms, helpdesk_repair, website_crm_partner_assign, website_sale, sales_team, bi_sql_editor, fetchmail, hr_expense, mrp_mps, account_batch_payment, hr_referral, auth_totp, csl_compress_product_image, base_import_module, project_repair_workflow, quality_mrp, pos_blackbox_be, account_asset, l10n_eu_service, l10n_be_hr_payroll, auth_ldap, l10n_fr_fec, pos_loyalty, l10n_latam_invoice_document, csl_photos, shipengine_shipping_integration_ex, purchase_requisition, gamification, sh_purchase_tags, account_budget, auth_totp_portal, sh_base_whatsapp_integration, hr_attendance, pos_sale, split_rfq, partner_commission, l10n_cl_edi_boletas, microsoft_calendar, l10n_de, iap, test_mail, l10n_cl_reports, analytic, mail_github, l10n_au_keypay, csl_account, account_taxcloud, product, industry_fsm_sale_report, l10n_in_purchase, hr_contract_salary, account_test, csl_rma, stock_move_location, l10n_in_reports, project, website_membership, csl_website, l10n_be_hr_payroll_variable_revenue, voip_crm, l10n_cn, crm_iap_lead_website, sh_purchase_custom_checklist, sh_merge_purchase_order, account_winbooks_import, l10n_latam_base, sale_coupon, website_customer, website_event_sale, calendar_sms, contacts, auth_oauth, hr_contract, purchase, industry_fsm, sale_expense, l10n_pe_edi, pos_adyen, hr_payroll, sale_project, google_calendar, test_action_bindings, csl_product, resource, website_twitter_wall, project_forecast, event, l10n_be_reports, base_automation, snailmail, event_sale, sale_product_configurator, account_invoice_extract, l10n_co_edi, fleet, hr_holidays, project_timesheet_forecast, web_tour, sh_purchase_multi_product_adv, sh_report_section, l10n_ch, l10n_ar_edi, hr_gamification, printnode_base, quality_mrp_workorder, account_online_sync, auth_signup, l10n_sg_reports, l10n_ar, mass_mailing_sms, delivery_easypost, hr_expense_extract, hr_presence, mrp_workorder, website_event_track_exhibitor, utm, timer, extra_addons, account_auto_transfer, hr_payroll_edit_lines, quality_control, delivery, voip, google_spreadsheet, hr_work_entry, sh_purchase_report_section, approvals, maintenance, stock_barcode_picking_batch, sale_subscription_dashboard, mrp_account, l10n_it_stock_ddt, stock_picking_batch, helpdesk_timesheet, l10n_mx_edi, account, purchase_stock, account_accountant, website_sale_wishlist, csl_purchase, sale_renting_sign, website_event_track_quiz",,views,Consider moving field definition to core if views manipulate same data
group_id,"auth_totp_portal, auth_totp",,views,Consider moving field definition to core if views manipulate same data
tag,"project_timesheet_synchro, mrp_mps, event_barcode, l10n_be_reports, stock_barcode, l10n_au_reports, hr_attendance, stock, base, l10n_de_reports, l10n_lu_reports, l10n_cl_reports, l10n_ar_reports, web_studio, l10n_in_reports, stock_barcode_picking_batch, sale_subscription_dashboard, account_accountant, l10n_lu_reports_electronic, website_studio, sign",,views,Consider moving field definition to core if views manipulate same data
res_model,"csl_project_repair_assignee_log, helpdesk, l10n_cl_edi, hr_recruitment, adyen_platforms, point_of_sale, l10n_be_hr_payroll_273S_274, website, hr_skills, csl_sale, mrp_plm, sale_ebay, mail, uom, l10n_mx_edi_stock, industry_fsm_sale, mrp, website_blog, csl_attendance, account_disallowed_expenses, website_slides_forum, marketing_automation_sms, stock, industry_fsm_report, sale_subscription, hr_timesheet, cloud_base, sale_timesheet, l10n_fr_pos_cert, l10n_de_pos_cert, payment, hr_appraisal, csl_competitor, pos_restaurant, website_sale_slides, csl_project_repair, crm, sale_amazon, product_margin, sale_renting, digest, calendar, website_slides_survey, lunch, bista_aws_s3_file_storage, pos_l10n_se, crm_helpdesk, website_event_meet, sign, crm_sms, l10n_cl, sale_crm, website_sale_comparison, website_calendar, google_drive, l10n_lu_reports_electronic_xml_2_0, stock_account, note, bista_convert_product, shipengine_shipping_integration, base_setup, mass_mailing, coupon, sale, stock_barcode, website_event_track, csl_timesheet, documents_account, account_bank_statement_import, l10n_ph, im_livechat, l10n_it_edi, iot, l10n_uk_reports, base, social, phone_validation, documents, barcodes, sale_management, hr_contract_sign, l10n_ar_reports, l10n_in_hr_payroll, portal, event_crm, web_studio, crm_iap_lead, marketing_automation, l10n_mx_xml_polizas, website_jitsi, switch_user_app, planning, test_testing_utilities, membership, hr, website_event_questions, website_slides, l10n_be_hr_payroll_posted_employee, documents_spreadsheet, rating, sms, helpdesk_repair, website_crm_partner_assign, website_sale, sales_team, bi_sql_editor, fetchmail, hr_expense, mrp_mps, account_batch_payment, hr_referral, project_repair_workflow, base_import_module, quality_mrp, account_asset, l10n_eu_service, l10n_be_hr_payroll, auth_ldap, l10n_fr_fec, pos_loyalty, l10n_latam_invoice_document, csl_photos, shipengine_shipping_integration_ex, purchase_requisition, gamification, sh_purchase_tags, account_budget, sh_base_whatsapp_integration, split_rfq, hr_attendance, pos_sale, partner_commission, microsoft_calendar, iap, analytic, mail_github, csl_account, account_taxcloud, product, hr_contract_salary, account_test, csl_rma, project, l10n_be_hr_payroll_variable_revenue, crm_iap_lead_website, sh_purchase_custom_checklist, sh_merge_purchase_order, account_winbooks_import, stock_enterprise, l10n_latam_base, sale_coupon, website_customer, sale_expense, contacts, project_enterprise, auth_oauth, hr_contract, industry_fsm, purchase, l10n_pe_edi, test_action_bindings, hr_payroll, stock_move_location, google_calendar, csl_product, resource, website_twitter_wall, project_forecast, l10n_be_reports, base_automation, snailmail, event_sale, sale_product_configurator, fleet, hr_holidays, project_timesheet_forecast, web_tour, sh_purchase_multi_product_adv, sh_report_section, l10n_ar_edi, hr_gamification, quality_mrp_workorder, l10n_sg_reports, l10n_ar, mass_mailing_sms, delivery_easypost, hr_expense_extract, mrp_workorder, website_event_track_exhibitor, utm, extra_addons, account_auto_transfer, hr_payroll_edit_lines, quality_control, delivery, voip, google_spreadsheet, hr_work_entry, approvals, maintenance, stock_barcode_picking_batch, sale_subscription_dashboard, stock_picking_batch, helpdesk_timesheet, account, purchase_stock, account_accountant, csl_purchase, sale_renting_sign, website_event_track_quiz",,views,Consider moving field definition to core if views manipulate same data
help,"helpdesk, hr_recruitment, point_of_sale, mrp_plm, mail, uom, l10n_mx_edi_stock, industry_fsm_sale, mrp, website_blog, account_disallowed_expenses, website_slides_forum, stock, industry_fsm_report, sale_subscription, sale_timesheet, l10n_fr_pos_cert, hr_appraisal, csl_competitor, pos_restaurant, website_sale_slides, csl_project_repair, crm, sale_amazon, sale_renting, calendar, website_slides_survey, lunch, sign, website_calendar, google_drive, stock_account, note, mass_mailing, coupon, sale, stock_barcode, website_event_track, im_livechat, iot, l10n_uk_reports, base, social, phone_validation, documents, barcodes, sale_management, event_crm, marketing_automation, planning, membership, website_slides, rating, website_crm_partner_assign, website_sale, sales_team, hr_expense, account_batch_payment, hr_referral, pos_loyalty, gamification, account_budget, hr_attendance, analytic, csl_account, product, hr_contract_salary, account_test, csl_rma, project, crm_iap_lead_website, stock_enterprise, website_customer, purchase, contacts, hr_contract, industry_fsm, hr_payroll, csl_product, resource, project_forecast, base_automation, fleet, hr_holidays, project_timesheet_forecast, hr_gamification, mass_mailing_sms, mrp_workorder, website_event_track_exhibitor, utm, quality_control, delivery, voip, google_spreadsheet, approvals, maintenance, stock_barcode_picking_batch, sale_subscription_dashboard, stock_picking_batch, account, purchase_stock, account_accountant, csl_purchase, website_event_track_quiz",,views,Consider moving field definition to core if views manipulate same data
view_mode,"csl_project_repair_assignee_log, helpdesk, l10n_cl_edi, hr_recruitment, adyen_platforms, point_of_sale, l10n_be_hr_payroll_273S_274, website, hr_skills, csl_sale, mrp_plm, sale_ebay, mail, uom, l10n_mx_edi_stock, industry_fsm_sale, mrp, website_blog, csl_attendance, website_slides_forum, marketing_automation_sms, stock, industry_fsm_report, sale_subscription, hr_timesheet, cloud_base, sale_timesheet, l10n_fr_pos_cert, l10n_de_pos_cert, payment, hr_appraisal, csl_competitor, pos_restaurant, website_sale_slides, csl_project_repair, crm, sale_amazon, product_margin, sale_renting, calendar, website_slides_survey, lunch, bista_aws_s3_file_storage, pos_l10n_se, crm_helpdesk, website_event_meet, sign, crm_sms, l10n_cl, sale_crm, website_sale_comparison, website_calendar, google_drive, l10n_lu_reports_electronic_xml_2_0, stock_account, note, bista_convert_product, shipengine_shipping_integration, base_setup, mass_mailing, coupon, sale, stock_barcode, website_event_track, csl_timesheet, documents_account, account_bank_statement_import, l10n_ph, im_livechat, l10n_it_edi, iot, l10n_uk_reports, base, social, documents, barcodes, sale_management, website_event_track_quiz, hr_contract_sign, l10n_ar_reports, l10n_in_hr_payroll, portal, event_crm, web_studio, crm_iap_lead, marketing_automation, l10n_mx_xml_polizas, website_jitsi, switch_user_app, planning, test_testing_utilities, membership, hr, website_event_questions, website_slides, l10n_be_hr_payroll_posted_employee, documents_spreadsheet, rating, sms, helpdesk_repair, website_crm_partner_assign, website_sale, sales_team, bi_sql_editor, fetchmail, hr_expense, mrp_mps, account_batch_payment, hr_referral, project_repair_workflow, base_import_module, quality_mrp, account_asset, event_enterprise, l10n_eu_service, l10n_be_hr_payroll, auth_ldap, l10n_fr_fec, pos_loyalty, csl_photos, shipengine_shipping_integration_ex, gamification, sh_purchase_tags, account_budget, sh_base_whatsapp_integration, split_rfq, hr_attendance, pos_sale, partner_commission, microsoft_calendar, iap, analytic, mail_github, csl_account, product, hr_contract_salary, account_test, csl_rma, project, l10n_be_hr_payroll_variable_revenue, crm_iap_lead_website, sh_purchase_custom_checklist, sh_merge_purchase_order, account_winbooks_import, stock_enterprise, l10n_latam_base, sale_coupon, sale_expense, contacts, project_enterprise, auth_oauth, hr_contract, industry_fsm, purchase, l10n_pe_edi, stock_move_location, hr_payroll, google_calendar, csl_product, resource, website_twitter_wall, project_forecast, l10n_be_reports, base_automation, snailmail, event_sale, sale_product_configurator, fleet, hr_holidays, project_timesheet_forecast, sh_purchase_multi_product_adv, sh_report_section, l10n_ar_edi, hr_gamification, quality_mrp_workorder, l10n_sg_reports, l10n_ar, mass_mailing_sms, delivery_easypost, hr_expense_extract, mrp_workorder, website_event_track_exhibitor, utm, extra_addons, account_auto_transfer, hr_payroll_edit_lines, quality_control, delivery, voip, google_spreadsheet, website_event_track_gantt, hr_work_entry, approvals, maintenance, stock_barcode_picking_batch, sale_subscription_dashboard, stock_picking_batch, helpdesk_timesheet, account, purchase_stock, account_accountant, csl_purchase, sale_renting_sign, fleet_dashboard",,views,Consider moving field definition to core if views manipulate same data
domain,"csl_project_repair_assignee_log, helpdesk, hr_recruitment, point_of_sale, mrp_plm, industry_fsm_sale, mrp, website_slides_forum, marketing_automation_sms, stock, industry_fsm_report, sale_subscription, hr_timesheet, sale_timesheet, hr_appraisal, website_sale_slides, csl_project_repair, crm, sale_renting, website_slides_survey, lunch, pos_l10n_se, l10n_cl, sale_crm, stock_account, note, mass_mailing, coupon, sale, stock_barcode, website_event_track, csl_timesheet, im_livechat, social, documents, l10n_in_hr_payroll, event_crm, marketing_automation, membership, website_slides, website_crm_partner_assign, website_sale, sales_team, fetchmail, hr_expense, account_batch_payment, hr_referral, project_repair_workflow, quality_mrp, account_asset, l10n_latam_invoice_document, purchase_requisition, analytic, csl_account, product, hr_contract_salary, project, l10n_latam_base, sale_coupon, sale_expense, purchase, hr_contract, industry_fsm, hr_payroll, resource, project_forecast, snailmail, fleet, hr_holidays, hr_gamification, quality_mrp_workorder, mass_mailing_sms, mrp_workorder, quality_control, delivery, voip, google_spreadsheet, approvals, maintenance, account, account_accountant",,views,Consider moving field definition to core if views manipulate same data
view_id,"helpdesk, hr_recruitment, point_of_sale, website, csl_sale, mrp_plm, sale_ebay, mail, uom, l10n_mx_edi_stock, mrp, website_blog, csl_attendance, website_slides_forum, stock, sale_subscription, sale_timesheet, payment, website_sale_slides, csl_project_repair, crm, sale_renting, calendar, website_slides_survey, lunch, pos_l10n_se, l10n_cl, sale_crm, google_drive, l10n_lu_reports_electronic_xml_2_0, stock_account, bista_convert_product, mass_mailing, coupon, sale, stock_barcode, website_event_track, csl_timesheet, account_bank_statement_import, l10n_it_edi, iot, base, phone_validation, l10n_in_hr_payroll, switch_user_app, membership, website_slides, l10n_be_hr_payroll_posted_employee, website_crm_partner_assign, website_sale, sales_team, fetchmail, hr_expense, mrp_mps, account_batch_payment, hr_referral, l10n_eu_service, gamification, account_budget, hr_attendance, analytic, mail_github, csl_account, account_taxcloud, product, hr_contract_salary, csl_rma, project, sh_merge_purchase_order, sale_coupon, purchase, industry_fsm, l10n_pe_edi, hr_payroll, csl_product, resource, project_forecast, base_automation, snailmail, event_sale, sale_product_configurator, fleet, hr_holidays, web_tour, hr_gamification, mass_mailing_sms, mrp_workorder, account_auto_transfer, quality_control, delivery, voip, maintenance, stock_barcode_picking_batch, sale_subscription_dashboard, account, account_accountant, csl_purchase",,views,Consider moving field definition to core if views manipulate same data
account.account.name,"account_accountant, account_disallowed_expenses, account_asset, l10n_au_keypay",hr_payroll_account,both,Move field definition to core
currency_id,"l10n_co_edi, l10n_ar, account, l10n_ch, l10n_pe_edi, l10n_ae, l10n_us_check_printing",,views,Consider moving field definition to core if views manipulate same data
account.bank.statement.name,"account_accountant, l10n_fr_pos_cert, point_of_sale, l10n_be_coda",,views,Consider moving field definition to core if views manipulate same data
date_from,"hr_payroll, l10n_fr_hr_payroll, l10n_in_hr_payroll, l10n_be_hr_payroll",,views,Consider moving field definition to core if views manipulate same data
date_to,"hr_payroll, l10n_fr_hr_payroll, l10n_in_hr_payroll, l10n_be_hr_payroll",,views,Consider moving field definition to core if views manipulate same data
company_id,"l10n_cl_edi, l10n_in, csl_invoice, sale, l10n_be_hr_payroll, l10n_ch, l10n_it, repair, stock, l10n_cl_edi_boletas, l10n_cl_edi_stock, l10n_ar, account_sepa_direct_debit, l10n_in_hr_payroll, l10n_in_purchase, csl_rma, l10n_cn, l10n_gcc_invoice, l10n_mx_edi, account, l10n_ca, purchase, l10n_in_stock, l10n_ae, l10n_cl, l10n_pe_edi",,views,Consider moving field definition to core if views manipulate same data
account.move.line.name,"sale_subscription, account_asset, l10n_latam_invoice_document, sale_subscription_dashboard, csl_account, account_accountant",l10n_ar,both,Move field definition to core
model_id,"helpdesk, mail_client_extension, hr_recruitment, hr_skills, sale_ebay, mail, account_online_synchronization, website_blog, website_slides_forum, marketing_automation_sms, stock, industry_fsm_report, sale_subscription, l10n_fr_pos_cert, l10n_de_pos_cert, payment, stock_landed_costs, csl_project_repair, crm, sale_amazon, sale_renting, stock_sms, bista_aws_s3_file_storage, website_event_meet, crm_sms, hr_work_entry_contract, test_access_rights, website_forum, account_followup, timesheet_grid, website_livechat, stock_account, note, bista_convert_product, coupon, event_sms, sale, website_event_track, csl_timesheet, documents_account, l10n_ph, iot, l10n_uk_reports, repair, base, l10n_ar_reports, sh_purchase_cancel, marketing_automation, planning, sms, website_crm_partner_assign, website_sale, hr_expense, mrp_mps, account_batch_payment, csl_compress_product_image, auth_totp, account_asset, l10n_be_hr_payroll, l10n_fr_fec, purchase_requisition, gamification, sh_purchase_tags, account_budget, auth_totp_portal, pos_sale, l10n_cl_edi_boletas, test_mail, iap, l10n_au_keypay, csl_account, product, hr_contract_salary, csl_rma, project, website_membership, voip_crm, sh_purchase_custom_checklist, sale_coupon, website_customer, website_event_sale, calendar_sms, sale_expense, purchase, sale_project, pos_adyen, hr_payroll, resource, account_invoice_extract, hr_holidays, project_timesheet_forecast, sh_report_section, account_online_sync, auth_signup, hr_expense_extract, hr_presence, mrp_workorder, website_event_track_exhibitor, timer, hr_payroll_edit_lines, delivery, voip, hr_work_entry, mrp_account, helpdesk_timesheet, l10n_mx_edi, account_accountant, website_sale_wishlist, csl_purchase, printnode_base",,views,Consider moving field definition to core if views manipulate same data
binding_model_id,"website_sale, hr_payroll, website_crm_partner_assign, csl_product, helpdesk, fetchmail, hr_expense, event, project_forecast, resource, web, account_batch_payment, point_of_sale, auth_totp, bista_convert_product, csl_compress_product_image, mass_mailing, csl_sale, account_invoice_extract, sale_ebay, sale, account_asset, test_action_bindings, l10n_be_hr_payroll, csl_timesheet, hr_holidays, l10n_ph, sh_report_section, purchase_requisition, mrp_account_enterprise, sh_purchase_tags, l10n_fr_hr_payroll, pos_sale, sale_project, stock, base, industry_fsm_report, hr_timesheet, auth_signup, crm_sms, iap, hr_expense_extract, bista_aws_s3_file_storage, mrp_workorder, payment, csl_account, product, l10n_in_hr_payroll, portal, extra_addons, account_test, csl_rma, hr_payroll_edit_lines, stock_move_location, sh_purchase_cancel, project, voip, l10n_be_hr_payroll_variable_revenue, marketing_automation, voip_crm, csl_project_repair, maintenance, planning, crm, sale_renting, mrp_account, sh_merge_purchase_order, stock_picking_batch, hr, account, account_accountant, purchase, csl_purchase, printnode_base, sign, sms",,views,Consider moving field definition to core if views manipulate same data
state,"pos_adyen, hr_payroll, website_sale, website_forum, helpdesk, hr_expense, mail_client_extension, account_batch_payment, csl_compress_product_image, auth_totp, bista_convert_product, l10n_in, csl_invoice, account_invoice_extract, sale_ebay, sale, account_asset, csl_timesheet, hr_holidays, l10n_ph, mrp, sh_purchase_tags, sale_project, repair, stock, base, industry_fsm_report, auth_signup, iap, sale_management, sale_timesheet, l10n_fr_pos_cert, hr_expense_extract, hr_presence, bista_aws_s3_file_storage, l10n_au_keypay, mrp_workorder, csl_account, product, csl_rma, hr_payroll_edit_lines, sh_purchase_cancel, project, voip, voip_crm, marketing_automation, csl_project_repair, planning, crm, sale_renting, l10n_gcc_invoice, mrp_account, account, account_accountant, purchase, csl_purchase, printnode_base, sign, l10n_pe_edi",,views,Consider moving field definition to core if views manipulate same data
groups_id,"hr_payroll, sales_team, hr_expense, hr_referral, auth_totp, sale, account_asset, csl_timesheet, hr_holidays, l10n_ph, sh_purchase_tags, stock, base, auth_signup, csl_account, product, csl_rma, stock_move_location, sh_purchase_cancel, csl_project_repair, crm, account, account_accountant, purchase",,views,Consider moving field definition to core if views manipulate same data
code,"pos_adyen, hr_payroll, website_sale, helpdesk, hr_expense, mail_client_extension, account_batch_payment, csl_compress_product_image, auth_totp, bista_convert_product, coupon, account_invoice_extract, sale_ebay, sale, account_asset, l10n_be_hr_payroll, csl_timesheet, hr_holidays, l10n_ph, sh_purchase_tags, l10n_fr_hr_payroll, stock, base, industry_fsm_report, auth_signup, iap, l10n_fr_pos_cert, hr_expense_extract, hr_presence, bista_aws_s3_file_storage, l10n_au_keypay, mrp_workorder, csl_account, product, csl_rma, hr_payroll_edit_lines, sh_purchase_cancel, project, voip, voip_crm, marketing_automation, csl_project_repair, planning, crm, mrp_account, account_accountant, purchase, csl_purchase, printnode_base, sale_project",,views,Consider moving field definition to core if views manipulate same data
account.payment.name,"l10n_au_aba, csl_account, account_check_printing, l10n_mx_edi, account_accountant",,views,Consider moving field definition to core if views manipulate same data
digest.digest.name,"website_sale, sale_management, helpdesk, crm, digest, account, hr_recruitment, im_livechat, point_of_sale, hr_rfid, account_accountant, project",,views,Consider moving field definition to core if views manipulate same data
res.partner.name,"partner_autocomplete, mrp_subcontracting, base_address_extended, sales_team, website_crm_partner_assign, sale_crm, helpdesk, contacts_enterprise, web_mobile, website_partner, l10n_fr, point_of_sale, base_setup, l10n_in, website, partner_contact_personal_information_page, partner_contact_access_link, sale_ebay, sale, l10n_lu_peppol_id, l10n_mx, l10n_pe, pos_loyalty, l10n_mx_edi_stock, l10n_ph, l10n_it_edi, partner_firstname, sh_base_whatsapp_integration, partner_commission, documents, l10n_de_reports, sale_subscription, csl_contacts, base_iban, l10n_ar, csl_login, web_map, base_vat, csl_account, product, csl_rma, delivery_ups, l10n_in_sale, delivery, project, voip, l10n_ro, base_geolocalize, crm, membership, account_check_printing, l10n_latam_base, website_customer, partner_contact_in_several_companies, purchase_stock, account_accountant, purchase, csl_purchase, sign, l10n_cl, sms","l10n_et, hr_payroll, l10n_lu, l10n_lt, l10n_pl, l10n_hr, l10n_pt, l10n_sk, l10n_co, l10n_be, l10n_fr, l10n_ec, l10n_ua, l10n_in, l10n_no, l10n_cr, l10n_de_skr04, l10n_de_skr03, l10n_dk, l10n_nl, l10n_si, l10n_mx, l10n_pe, l10n_be_hr_payroll, l10n_th, l10n_uk, l10n_jp, l10n_vn, l10n_cz, l10n_mx_edi_stock, l10n_syscohada, l10n_ch, l10n_ve, l10n_do, l10n_ie, l10n_fr_hr_payroll, l10n_it, l10n_hk, l10n_be_hr_contract_salary, l10n_br, l10n_hn, l10n_ar, l10n_se, l10n_sa, l10n_au, l10n_bo, csl_account, l10n_hu, l10n_in_hr_payroll, extra_addons, l10n_gt, l10n_ro, l10n_tr, l10n_za, l10n_cn, l10n_gr, l10n_il, l10n_es_edi_sii, l10n_uy, l10n_es, l10n_ca, l10n_mn, l10n_id, l10n_nz, l10n_ae, l10n_cl, l10n_pe_edi",both,Move field definition to core
product.template.name,"website_sale, website_sale_digital, csl_product, hr_expense, point_of_sale, event_sale, l10n_in, sale_product_configurator, mrp_plm, sale_ebay, product_email_template, sale, csl_photos, purchase_requisition, mrp_account_enterprise, l10n_ar_edi, website_sale_stock, sale_subscription, sale_timesheet, sale_purchase, account_taxcloud, product, industry_fsm_sale_report, csl_competitor, product_expiry, sale_stock_renting, sh_all_in_one_purchase_ex, quality_control, delivery, website_membership, sh_purchase_price_history, csl_project_repair, sale_product_matrix, sale_amazon, sale_renting, mrp_account, membership, account_accountant, purchase, sale_project, l10n_pe_edi","website_sale_digital, product_matrix, csl_product, pos_blackbox_be",both,Move field definition to core
res.config.settings.name,"l10n_cl_edi, point_of_sale, l10n_be_hr_payroll_273S_274, onedrive, sale_purchase_inter_company_rules, l10n_in, website, website_delivery_ups, documents_hr_payroll, sale_ebay, currency_rate_live, pad_project, account_reports, l10n_fr_hr_payroll, hr_timesheet, website_sale_stock, cloud_base, sale_timesheet, delivery_dhl, web_map, base_vat, website_crm, documents_hr, project_timesheet_holidays, hr_appraisal, stock_landed_costs, csl_project_repair, l10n_es_edi_sii, crm, sale_amazon, sale_renting, digest, mail_mobile, stock_sms, lunch, bista_aws_s3_file_storage, l10n_cl, social_linkedin, social_twitter, google_drive, timesheet_grid, website_livechat, website_event, base_setup, mass_mailing, sh_all_in_one_purchase_tools, sale, stock_barcode, website_event_track, documents_account, documents_hr_recruitment, website_google_tag_manager, social, documents, l10n_it_edi_sdicoop, sale_management, account_sepa_direct_debit, sh_purchase_cancel, crm_iap_lead, documents_hr_contract, base_geolocalize, website_jitsi, switch_user_app, planning, account_sepa, delivery_bpost, hr, website_slides, sms, partner_autocomplete, website_sale, auth_password_policy, fetchmail, hr_recruitment_survey, mrp_mps, csl_compress_product_image, snailmail_account, l10n_eu_service, documents_product, l10n_mx, l10n_be_hr_payroll, auth_ldap, l10n_id_efaktur, voip_onsip, purchase_requisition, website_sale_dashboard, account_budget, hr_attendance, partner_commission, microsoft_calendar, l10n_be_hr_contract_salary, iap, delivery_fedex, l10n_cl_reports, l10n_au_keypay, account_taxcloud, product, hr_contract_salary, product_expiry, csl_rma, website_sale_coupon, project, crm_iap_lead_website, crm_iap_lead_enrich, sale_ebay_account_deletion, sh_purchase_whatsapp_integration, sale_coupon, documents_project, purchase, project_enterprise, auth_oauth, website_sale_delivery, industry_fsm, l10n_pe_edi, hr_appraisal_survey, hr_payroll, pos_adyen, google_calendar, csl_product, project_forecast, website_twitter, sale_stock, account_invoice_extract, partner_firstname, l10n_ar_edi, pos_iot, google_recaptcha, auth_signup, sale_timesheet_enterprise, delivery_easypost, mrp_workorder, l10n_be_hr_payroll_273S_274_account, web_unsplash, social_facebook, pad, sale_stock_renting, delivery_ups, delivery, sale_quotation_builder, voip, google_spreadsheet, pos_mercury, l10n_mx_edi, account_check_printing, purchase_stock, l10n_be_intrastat, account_accountant, delivery_usps, sale_renting_sign",,views,Consider moving field definition to core if views manipulate same data
