field_key,view_modules,data_modules,shared_between,recommendation
product.product.groups_id,"sale, purchase, sale_amazon, mrp_account",,views,Consider moving field definition to core if views manipulate same data
sale.order.date_order,shipengine_shipping_integration_ex,"website_sale, sale_stock_renting, sale_renting",both,Move field definition to core
partner_invoice_id,"sale, sale_renting, repair",,views,Consider moving field definition to core if views manipulate same data
partner_shipping_id,"sale, sale_renting",,views,Consider moving field definition to core if views manipulate same data
sale.rental.report.name,"sale_stock_renting, sale_renting",,views,Consider moving field definition to core if views manipulate same data
sale.rental.schedule.name,"sale_stock_renting, sale_renting",,views,Consider moving field definition to core if views manipulate same data
rental.wizard.name,"sale_stock_renting, sale_renting",,views,Consider moving field definition to core if views manipulate same data
rental.order.wizard.name,"sale_stock_renting, sale_renting",,views,Consider moving field definition to core if views manipulate same data
ids,"sale_renting_sign, mail",,views,Consider moving field definition to core if views manipulate same data
stock.inventory.name,stock,sale_stock_renting,both,Move field definition to core
sale.subscription.close.reason.name,sale_subscription,sale_subscription,both,Move field definition to core
sale.subscription.stage.name,sale_subscription,sale_subscription,both,Move field definition to core
sign.item.type.name,sign,sign,both,Move field definition to core
sign.item.role.name,sign,sign,both,Move field definition to core
sudo,"sale_stock, csl_rma, website_sale_coupon, sign, stock",,views,Consider moving field definition to core if views manipulate same data
utm.campaign.name,"social, social_push_notifications, sale, link_tracker, crm, mass_mailing_sms, utm, mass_mailing",,views,Consider moving field definition to core if views manipulate same data
stock.location.name,"csl_product, stock_barcode, stock",purchase_by_line_routes,both,Move field definition to core
stock.move.line.name,"mrp_subcontracting, csl_project_repair, stock_barcode, stock_barcode_picking_batch, csl_photos, csl_rma, stock_picking_batch, mrp, product_expiry, stock",,views,Consider moving field definition to core if views manipulate same data
lot_name,"mrp, stock",,views,Consider moving field definition to core if views manipulate same data
stock.quant.name,"stock_account, stock_barcode, stock, product_expiry",,views,Consider moving field definition to core if views manipulate same data
stock.scrap.name,"mrp, stock_barcode, stock",,views,Consider moving field definition to core if views manipulate same data
picking_type_id,"stock, delivery, purchase_stock",,views,Consider moving field definition to core if views manipulate same data
stock.quant.package.name,"stock_barcode_picking_batch, delivery, stock",,views,Consider moving field definition to core if views manipulate same data
report.stock.quantity.name,"stock, stock_enterprise",,views,Consider moving field definition to core if views manipulate same data
date_done,"stock, l10n_it_stock_ddt",,views,Consider moving field definition to core if views manipulate same data
calendar.appointment.type.name,website_calendar,website_calendar,both,Move field definition to core
