class,model,method,file_path,module
AccountConsolidationTrialBalanceReport,account.consolidation.trial_balance_report,_get_options,C:\Odoo\sh\src\enterprise\account_consolidation\report\trial_balance.py,account_consolidation
AccountConsolidationTrialBalanceReport,account.consolidation.trial_balance_report,print_xlsx,C:\Odoo\sh\src\enterprise\account_consolidation\report\trial_balance.py,account_consolidation
AccountConsolidationTrialBalanceReport,account.consolidation.trial_balance_report,print_pdf,C:\Odoo\sh\src\enterprise\account_consolidation\report\trial_balance.py,account_consolidation
AccountDisallowedExpensesReport,account.disallowed.expenses.report,_get_templates,C:\Odoo\sh\src\enterprise\account_disallowed_expenses\report\account_disallowed_expenses_report.py,account_disallowed_expenses
AccountDisallowedExpensesReport,account.disallowed.expenses.report,_get_options,C:\Odoo\sh\src\enterprise\account_disallowed_expenses\report\account_disallowed_expenses_report.py,account_disallowed_expenses
AccountDisallowedExpensesCategory,account.disallowed.expenses.category,name_get,C:\Odoo\sh\src\enterprise\account_disallowed_expenses_fleet\models\account_disallowed_expenses.py,account_disallowed_expenses_fleet
AccountDisallowedExpensesReport,account.disallowed.expenses.report,_get_options,C:\Odoo\sh\src\enterprise\account_disallowed_expenses_fleet\report\account_disallowed_expenses_report.py,account_disallowed_expenses_fleet
AccountDisallowedExpensesReport,account.disallowed.expenses.report,_get_query,C:\Odoo\sh\src\enterprise\account_disallowed_expenses_fleet\report\account_disallowed_expenses_report.py,account_disallowed_expenses_fleet
AccountDisallowedExpensesReport,account.disallowed.expenses.report,_parse_line_id,C:\Odoo\sh\src\enterprise\account_disallowed_expenses_fleet\report\account_disallowed_expenses_report.py,account_disallowed_expenses_fleet
AccountDisallowedExpensesReport,account.disallowed.expenses.report,_build_line_id,C:\Odoo\sh\src\enterprise\account_disallowed_expenses_fleet\report\account_disallowed_expenses_report.py,account_disallowed_expenses_fleet
AccountDisallowedExpensesReport,account.disallowed.expenses.report,_set_line,C:\Odoo\sh\src\enterprise\account_disallowed_expenses_fleet\report\account_disallowed_expenses_report.py,account_disallowed_expenses_fleet
